"ANNI","Popolazione residente-maschi","Popolazione residente-femmine","Popolazione residente-totale","Popolazione presente-maschi","Popolazione presente-femmine","Popolazione presente-totale"
1620,,,,,,29807
1796,,,,,,36750
1811,,,,,,37795
1861,26306,26323,52629,29224,26288,55512
1871,,,56995,28682,28008,56690
1881,,,57520,29696,28362,58058
1901,,,63012,32534,33309,65843
1911,,,71922,35005,35918,70923
1921,,,81590,,,83663
1931,45183,44558,89741,46367,46390,92757
1936,46491,49846,96337,48703,50898,99601
1951,53401,57963,111364,55711,58739,114450
1961,67142,72041,139183,68150,73221,141371
1971,82206,88866,171072,84452,90279,174731
1981,85928,94386,180314,87932,96089,184021
1991,84633,92357,176990,,,180410
2001,83984,91518,175502,87414,93695,181109
2011,84974,94175,179149,,,
